(60, 'Sri Lanka', 'West Indies', '2003-06-11', 'West Indies', False, 'Sri Lanka tour of West Indies', 'Unknown')
(61, 'India', 'New Zealand', '2003-01-04', 'New Zealand', False, 'India tour of New Zealand', 'Unknown')
(62, 'South Africa', 'Canada', '2003-02-27', 'South Africa', False, 'ICC World Cup', 'Unknown')
(63, 'Australia', 'West Indies', '2003-05-30', 'West Indies', False, 'Australia tour of West Indies', 'Unknown')
(64, 'West Indies', 'South Africa', '2003-02-09', 'West Indies', True, 'ICC World Cup', 'Unknown')
(65, 'Pakistan', 'New Zealand', '2003-05-11', 'New Zealand', False, 'Bank Alfalah Cup', 'Unknown')
(66, 'Zimbabwe', 'Namibia', '2003-02-10', 'Zimbabwe', False, 'ICC World Cup', 'Unknown')
(67, 'Pakistan', 'New Zealand', '2003-05-23', 'New Zealand', False, 'Bank Alfalah Cup', 'Final')
(68, 'England', 'Zimbabwe', '2003-06-26', 'Zimbabwe', True, 'NatWest Series', 'Unknown')
(69, 'New Zealand', 'India', '2003-03-14', 'India', False, 'ICC World Cup', 'Super Sixes')
(70, 'India', 'Namibia', '2003-02-23', 'India', False, 'ICC World Cup', 'Unknown')
(71, 'Kenya', 'Bangladesh', '2003-03-01', 'Kenya', False, 'ICC World Cup', 'Unknown')
(72, 'Australia', 'Pakistan', '2003-02-11', 'Australia', False, 'ICC World Cup', 'Unknown')
(73, 'South Africa', 'New Zealand', '2003-02-16', 'New Zealand', True, 'ICC World Cup', 'Unknown')
(74, 'Zimbabwe', 'Pakistan', '2003-04-10', 'Pakistan', False, 'Cherry Blossom Sharjah Cup', 'Final')
(75, 'Pakistan', 'Netherlands', '2003-02-25', 'Pakistan', False, 'ICC World Cup', 'Unknown')
(76, 'Kenya', 'Zimbabwe', '2003-04-05', 'Zimbabwe', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(77, 'South Africa', 'England', '2003-07-12', 'England', False, 'NatWest Series', 'Final')
(78, 'New Zealand', 'Pakistan', '2003-11-29', 'Pakistan', False, 'New Zealand tour of Pakistan', 'Unknown')
(79, 'Australia', 'Sri Lanka', '2003-03-18', 'Australia', False, 'ICC World Cup', 'Semi Final')
(80, 'India', 'Zimbabwe', '2003-02-19', 'India', True, 'ICC World Cup', 'Unknown')
(81, 'Sri Lanka', 'Australia', '2003-01-15', 'Australia', False, 'VB Series', 'Unknown')
(82, 'Canada', 'West Indies', '2003-02-23', 'West Indies', False, 'ICC World Cup', 'Unknown')
(83, 'Australia', 'India', '2003-03-23', 'Australia', False, 'ICC World Cup', 'Final')
(84, 'Sri Lanka', 'Zimbabwe', '2003-03-15', 'Sri Lanka', False, 'ICC World Cup', 'Super Sixes')
(85, 'Zimbabwe', 'New Zealand', '2003-03-08', 'New Zealand', False, 'ICC World Cup', 'Super Sixes')
(86, 'India', 'New Zealand', '2003-01-14', 'New Zealand', False, 'India tour of New Zealand', 'Unknown')
(87, 'India', 'New Zealand', '2003-01-01', 'New Zealand', False, 'India tour of New Zealand', 'Unknown')
(88, 'Kenya', 'India', '2003-03-07', 'India', False, 'ICC World Cup', 'Super Sixes')
(89, 'Pakistan', 'Zimbabwe', '2003-04-03', 'Pakistan', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(90, 'Pakistan', 'Bangladesh', '2003-09-09', 'Pakistan', False, 'Bangladesh tour of Pakistan', 'Unknown')
(91, 'Bangladesh', 'Australia', '2003-08-03', 'Australia', False, 'Bangladesh tour of Australia', 'Unknown')
(92, 'West Indies', 'Zimbabwe', '2003-11-23', 'Zimbabwe', False, 'West Indies tour of Zimbabwe', 'Unknown')
(93, 'Pakistan', 'New Zealand', '2003-12-01', 'Pakistan', False, 'New Zealand tour of Pakistan', 'Unknown')
(94, 'Sri Lanka', 'Kenya', '2003-04-06', 'Sri Lanka', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(95, 'India', 'New Zealand', '2003-11-06', 'New Zealand', True, 'TVS Cup (India)', 'Unknown')
(96, 'Zimbabwe', 'Netherlands', '2003-02-28', 'Zimbabwe', False, 'ICC World Cup', 'Unknown')
(97, 'Zimbabwe', 'South Africa', '2003-07-10', 'South Africa', False, 'NatWest Series', 'Unknown')
(98, 'Bangladesh', 'Australia', '2003-08-02', 'Australia', False, 'Bangladesh tour of Australia', 'Unknown')
(99, 'Zimbabwe', 'West Indies', '2003-11-30', 'West Indies', True, 'West Indies tour of Zimbabwe', 'Unknown')
(100, 'Sri Lanka', 'West Indies', '2003-02-28', 'Sri Lanka', False, 'ICC World Cup', 'Unknown')
(101, 'Pakistan', 'South Africa', '2003-10-10', 'South Africa', False, 'South Africa tour of Pakistan', 'Unknown')
(102, 'England', 'Sri Lanka', '2003-11-18', 'Sri Lanka', False, 'England tour of Sri Lanka', 'Unknown')
(103, 'Australia', 'England', '2003-01-25', 'Australia', False, 'VB Series', 'Final')
(104, 'Sri Lanka', 'West Indies', '2003-06-07', 'Sri Lanka', True, 'Sri Lanka tour of West Indies', 'Unknown')
(105, 'Zimbabwe', 'Kenya', '2003-03-12', 'Kenya', False, 'ICC World Cup', 'Super Sixes')
(106, 'Netherlands', 'England', '2003-02-16', 'England', False, 'ICC World Cup', 'Unknown')
(107, 'India', 'Australia', '2003-02-15', 'Australia', False, 'ICC World Cup', 'Unknown')
(108, 'New Zealand', 'West Indies', '2003-02-13', 'New Zealand', False, 'ICC World Cup', 'Unknown')
(109, 'Netherlands', 'Namibia', '2003-03-03', 'Netherlands', False, 'ICC World Cup', 'Unknown')
(110, 'Pakistan', 'England', '2003-06-20', 'England', False, 'Pakistan tour of England and Scotland', 'Unknown')
(111, 'Bangladesh', 'South Africa', '2003-02-22', 'South Africa', False, 'ICC World Cup', 'Unknown')
(112, 'Sri Lanka', 'South Africa', '2003-03-03', None, False, 'ICC World Cup', 'Unknown')
(113, 'Zimbabwe', 'Australia', '2003-02-24', 'Australia', True, 'ICC World Cup', 'Unknown')
(114, 'England', 'Australia', '2003-01-19', 'Australia', False, 'VB Series', 'Unknown')
(115, 'Australia', 'Sri Lanka', '2003-03-07', 'Australia', False, 'ICC World Cup', 'Super Sixes')
(116, 'New Zealand', 'India', '2003-01-08', 'India', False, 'India tour of New Zealand', 'Unknown')
(117, 'India', 'Australia', '2003-10-26', 'India', False, 'TVS Cup (India)', 'Unknown')
(118, 'New Zealand', 'Australia', '2003-10-29', 'Australia', False, 'TVS Cup (India)', 'Unknown')
(119, 'New Zealand', 'Australia', '2003-11-03', 'Australia', False, 'TVS Cup (India)', 'Unknown')
(120, 'Australia', 'India', '2003-11-01', 'Australia', True, 'TVS Cup (India)', 'Unknown')
(121, 'India', 'Australia', '2004-02-06', 'Australia', False, 'VB Series', 'Final')
(122, 'England', 'New Zealand', '2004-06-29', 'New Zealand', True, 'NatWest Series', 'Unknown')
(123, 'Zimbabwe', 'Sri Lanka', '2004-09-14', 'Sri Lanka', False, 'ICC Champions Trophy', 'Unknown')
(124, 'Australia', 'Sri Lanka', '2004-02-20', 'Australia', True, 'Australia tour of Sri Lanka', 'Unknown')
(125, 'West Indies', 'South Africa', '2004-01-30', None, False, 'West Indies tour of South Africa', 'Unknown')
(126, 'New Zealand', 'Bangladesh', '2004-11-02', 'New Zealand', True, 'New Zealand tour of Bangladesh', 'Unknown')
(127, 'India', 'England', '2004-09-01', 'England', False, 'India tour of England', 'Unknown')
(128, 'England', 'Zimbabwe', '2004-12-01', 'England', True, 'England tour of Zimbabwe', 'Unknown')
(129, 'Sri Lanka', 'Zimbabwe', '2004-04-27', 'Sri Lanka', True, 'Sri Lanka tour of Zimbabwe', 'Unknown')
(130, 'India', 'Australia', '2004-01-22', 'Australia', False, 'VB Series', 'Unknown')
(131, 'Australia', 'England', '2004-09-21', 'England', False, 'ICC Champions Trophy', 'Semi Final')
(132, 'Pakistan', 'Sri Lanka', '2004-07-21', 'Sri Lanka', False, 'Asia Cup', 'Unknown')
(133, 'New Zealand', 'United States of America', '2004-09-10', 'New Zealand', False, 'ICC Champions Trophy', 'Unknown')
(134, 'India', 'Kenya', '2004-09-11', 'India', False, 'ICC Champions Trophy', 'Unknown')
(135, 'India', 'Australia', '2004-02-01', 'Australia', False, 'VB Series', 'Unknown')
(136, 'Pakistan', 'India', '2004-08-21', 'Pakistan', False, 'Videocon Cup', 'Unknown')
(137, 'Australia', 'India', '2004-01-09', 'Australia', False, 'VB Series', 'Unknown')
(138, 'West Indies', 'England', '2004-07-01', 'England', False, 'NatWest Series', 'Unknown')
(139, 'South Africa', 'West Indies', '2004-01-25', 'South Africa', False, 'West Indies tour of South Africa', 'Unknown')
(140, 'South Africa', 'New Zealand', '2004-02-25', 'New Zealand', False, 'South Africa tour of New Zealand', 'Unknown')
(141, 'Zimbabwe', 'Australia', '2004-05-25', 'Australia', True, 'Australia tour of Zimbabwe', 'Unknown')
(142, 'Pakistan', 'Zimbabwe', '2004-09-30', 'Pakistan', False, 'Paktel Cup', 'Unknown')
(143, 'New Zealand', 'Australia', '2004-09-16', 'Australia', False, 'ICC Champions Trophy', 'Unknown')
(144, 'Pakistan', 'India', '2004-03-16', 'Pakistan', False, 'India tour of Pakistan', 'Unknown')
(145, 'New Zealand', 'West Indies', '2004-07-10', 'New Zealand', False, 'NatWest Series', 'Final')
(146, 'England', 'West Indies', '2004-05-02', 'West Indies', False, 'England tour of West Indies', 'Unknown')
(147, 'Pakistan', 'New Zealand', '2004-01-03', 'New Zealand', False, 'Pakistan tour of New Zealand', 'Unknown')
(148, 'Australia', 'India', '2004-02-08', 'Australia', False, 'VB Series', 'Final')
(149, 'Zimbabwe', 'Pakistan', '2004-10-03', 'Pakistan', False, 'Paktel Cup', 'Unknown')
(150, 'Bangladesh', 'West Indies', '2004-05-15', 'West Indies', False, 'Bangladesh tour of West Indies', 'Unknown')
(151, 'India', 'Pakistan', '2004-09-19', 'Pakistan', False, 'ICC Champions Trophy', 'Unknown')
(152, 'India', 'Zimbabwe', '2004-01-20', 'India', False, 'VB Series', 'Unknown')
(153, 'Australia', 'Zimbabwe', '2004-01-16', 'Australia', False, 'VB Series', 'Unknown')
(154, 'Australia', 'Sri Lanka', '2004-02-27', 'Australia', True, 'Australia tour of Sri Lanka', 'Unknown')
(155, 'India', 'Sri Lanka', '2004-07-27', 'India', True, 'Asia Cup', 'Unknown')
(156, 'Zimbabwe', 'England', '2004-11-28', 'England', True, 'England tour of Zimbabwe', 'Unknown')
(157, 'Australia', 'Pakistan', '2004-09-04', 'Australia', False, 'Pakistan tour of England', 'Unknown')
(158, 'England', 'West Indies', '2004-09-25', 'West Indies', True, 'ICC Champions Trophy', 'Final')
(159, 'England', 'Zimbabwe', '2004-12-05', 'England', True, 'England tour of Zimbabwe', 'Unknown')
(160, 'Bangladesh', 'West Indies', '2004-05-19', 'West Indies', False, 'Bangladesh tour of West Indies', 'Unknown')
(161, 'Pakistan', 'India', '2004-03-21', 'India', True, 'India tour of Pakistan', 'Unknown')
(162, 'India', 'Bangladesh', '2004-12-23', 'India', True, 'India tour of Bangladesh', 'Unknown')
(163, 'England', 'West Indies', '2004-06-27', 'West Indies', True, 'NatWest Series', 'Unknown')
(164, 'India', 'England', '2004-09-05', 'India', True, 'India tour of England', 'Unknown')
(165, 'Zimbabwe', 'India', '2004-01-14', 'India', False, 'VB Series', 'Unknown')
(166, 'Pakistan', 'Bangladesh', '2004-07-17', 'Pakistan', False, 'Asia Cup', 'Unknown')
(167, 'West Indies', 'England', '2004-04-24', None, False, 'England tour of West Indies', 'Unknown')
(168, 'Zimbabwe', 'Sri Lanka', '2004-04-20', 'Sri Lanka', True, 'Sri Lanka tour of Zimbabwe', 'Unknown')
(169, 'South Africa', 'Sri Lanka', '2004-08-28', 'Sri Lanka', False, 'South Africa tour of Sri Lanka', 'Unknown')
(170, 'England', 'Zimbabwe', '2004-09-10', 'England', False, 'ICC Champions Trophy', 'Unknown')
(171, 'Bangladesh', 'Zimbabwe', '2004-03-14', 'Zimbabwe', False, 'Bangladesh tour of Zimbabwe', 'Unknown')
(172, 'Sri Lanka', 'Pakistan', '2004-10-16', 'Sri Lanka', True, 'Paktel Cup', 'Final')
(173, 'Australia', 'Zimbabwe', '2004-01-29', None, False, 'VB Series', 'Unknown')
(174, 'India', 'Bangladesh', '2004-12-27', 'India', True, 'India tour of Bangladesh', 'Unknown')
(175, 'Australia', 'Zimbabwe', '2004-01-11', 'Australia', False, 'VB Series', 'Unknown')
(176, 'South Africa', 'West Indies', '2004-09-18', 'West Indies', False, 'ICC Champions Trophy', 'Unknown')
(177, 'West Indies', 'Bangladesh', '2004-05-16', 'West Indies', False, 'Bangladesh tour of West Indies', 'Unknown')
(178, 'England', 'India', '2004-09-03', 'England', False, 'India tour of England', 'Unknown')
(179, 'Pakistan', 'West Indies', '2004-09-22', 'West Indies', False, 'ICC Champions Trophy', 'Semi Final')
(180, 'Zimbabwe', 'Sri Lanka', '2004-10-09', 'Sri Lanka', False, 'Paktel Cup', 'Unknown')
(181, 'Sri Lanka', 'Australia', '2004-02-22', 'Sri Lanka', False, 'Australia tour of Sri Lanka', 'Unknown')
(182, 'Australia', 'Zimbabwe', '2004-05-27', 'Australia', True, 'Australia tour of Zimbabwe', 'Unknown')
(183, 'Sri Lanka', 'South Africa', '2004-08-31', 'Sri Lanka', False, 'South Africa tour of Sri Lanka', 'Unknown')
(184, 'Sri Lanka', 'India', '2004-08-01', 'Sri Lanka', False, 'Asia Cup', 'Final')
(185, 'India', 'Pakistan', '2004-03-19', 'Pakistan', False, 'India tour of Pakistan', 'Unknown')
(186, 'Australia', 'New Zealand', '2004-12-08', 'Australia', False, 'New Zealand tour of Australia', 'Unknown')
(187, 'England', 'West Indies', '2004-07-06', 'West Indies', True, 'NatWest Series', 'Unknown')
(188, 'Kenya', 'Pakistan', '2004-09-14', 'Pakistan', False, 'ICC Champions Trophy', 'Unknown')
(189, 'India', 'Pakistan', '2004-03-24', 'India', True, 'India tour of Pakistan', 'Unknown')
(190, 'West Indies', 'Bangladesh', '2004-09-15', 'West Indies', False, 'ICC Champions Trophy', 'Unknown')
(191, 'Zimbabwe', 'Australia', '2004-05-29', 'Australia', True, 'Australia tour of Zimbabwe', 'Unknown')
(192, 'Australia', 'India', '2004-08-23', None, False, 'Videocon Cup', 'Unknown')
(193, 'United States of America', 'Australia', '2004-09-13', 'Australia', False, 'ICC Champions Trophy', 'Unknown')
